	geoName	lat	lon
0	Afghanistan	33.76800537	66.23851013
1	Germany	47.64546204	8.09182739
2	Algeria	28.0000267	2.99998307
3	American Samoa	-14.29712391	-170.71315002
4		0.0	0.0
5	Angola	-11.87757683	17.56912422
6	Aia, Northern Region, Uganda	3.27687311	30.92141914
7	Áta, Baranya, Hungary	45.93702698	18.29675865
8	Antigua and Barbuda	17.07728767	-61.79924393
9	Argentina	-34.99649811	-64.96728516
10	Armenia	40.76962662	44.67366409
11	Aruba	12.5013628	-69.9618454
12	Australia	-25.72810364	134.4901886
13	Austria	47.58707047	14.14098835
14	Azerbaijan	40.39363098	47.78725052
15	The Bahamas	24.77365494	-78.00005341
16	Bahrain	26.15512466	50.53446198
17	Bangladesh	23.87430954	90.25627899
18	Barbados	13.150033	-59.52503204
19	Belarus	53.54193497	28.04946327
20	Belgium	50.64095688	4.66128588
21	Belize	17.19834137	-88.70926666
22	Benin	9.52934742	2.25844097
23	Bermuda	32.29401016	-64.78716278
24	Bhutan	27.4143486	90.43104553
25	Bol, Split-Dalmatia, Croatia	43.26192474	16.65376472
26	Bosnia and Herzegovina	44.16830444	17.78519249
27	Botswana	-23.16817856	24.59287453
28	Bouvet Island	-54.42127228	3.35795093
29	Brazil	-10.33333302	-53.20000076
30	British Indian Ocean Territory	-7.30000019	72.40000153
31	British Virgin Islands	18.42357063	-64.6259613
32	Brunei	4.49613094	114.62987518
33	Bulgaria	42.75815964	25.23507118
34	Burkina Faso	12.07530785	-1.68803096
35	Burundi	-3.42644906	29.93245125
36	Cambodia	12.71154022	104.91756439
37	Cameroon	4.61255217	13.15358067
38	Çan, Çanakkale, Türkiye	40.02813721	27.04686737
39	Cape Verde	15.08353901	-23.62466812
40	Simaria, JH, India	24.05160332	85.21263885
41	Cayman Islands	19.31824493	-81.24090576
42	Central African Republic	7.03236008	19.99812317
43	Chad	15.61341381	19.01561737
44	Chile	-31.76133728	-71.31877136
45	China	36.55937195	103.7533493
46	Cam Nghĩa, Khanh Hoa, Vietnam	11.99804974	109.21943665
47	Khyber Pakhtunkhwa, Pakistan	33.54222107	71.51333618
48	Colombia	4.09991693	-72.90881348
49	TX, United States	29.39518738	-95.00039673
50	Republic of the Congo	-0.72643298	15.64191532
51	Democratic Republic of the Congo	-2.98143411	23.82226372
52	Cook Islands	-21.2347126	-159.77796936
53	Costa Rica	9.97899818	-84.19515228
54	Croatia	45.14022827	16.42813301
55	Cuba	23.013134	-80.83287811
56	Mequon, WI, United States	43.25448227	-87.91478729
57	Cyprus	34.98230362	33.14513016
58	Czechia	49.73923874	15.3317976
59	Kyiv, Kyiv City, Ukraine	50.44974899	30.52371788
60	Denmark	56.03481293	9.31906033
61	Djibouti	11.81459618	42.8453064
